,crypto,ann_model,n_layers,drop_rate,optimizer,ann_mse_in,ann_mse_out,best_model_ts_or_ann,test_size,ts_model,ts_dist,ts_p,ts_q,ts_mse_in,ts_mse_out
122,IOTA,model3,3,0.4,sgd,0.018567742069104786,0.12092538284873858,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
123,IOTA,model4,3,0.4,sgd,0.07070739851578285,0.21481330176326086,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
124,IOTA,model5,2,0.4,sgd,,,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
125,IOTA,model1,4,0.5,sgd,0.33561217079037114,0.4616550211085389,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
126,IOTA,model2,3,0.5,sgd,0.49780088780741943,0.28870848505439084,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
127,IOTA,model3,3,0.5,sgd,0.024295134665934665,0.22074453410986505,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
128,IOTA,model4,3,0.5,sgd,0.035845122055003516,0.5658439226761033,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
129,IOTA,model5,2,0.5,sgd,,,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
130,IOTA,model1,4,0.4,rmsprop,0.1727624699277313,0.05958697941590092,ANN,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
131,IOTA,model2,3,0.4,rmsprop,0.10545126022771001,0.132621571651884,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
132,IOTA,model3,3,0.4,rmsprop,0.009220572237513568,0.3610361807591078,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
133,IOTA,model4,3,0.4,rmsprop,0.05178429779449576,0.1807012554036071,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
134,IOTA,model5,2,0.4,rmsprop,0.027748207488146267,0.09498476847660857,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
135,IOTA,model1,4,0.5,rmsprop,0.09870195957390886,0.08380244218355773,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
136,IOTA,model2,3,0.5,rmsprop,0.31495950520528776,0.12952187137624813,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
137,IOTA,model3,3,0.5,rmsprop,0.03325110492541602,0.14904951635813937,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
138,IOTA,model4,3,0.5,rmsprop,0.028979532959821978,0.08413885645650607,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
139,IOTA,model5,2,0.5,rmsprop,0.018970611823820753,0.1131281606672089,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
140,IOTA,model1,4,0.4,sgd,0.04664404043241551,0.07715406189888518,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
141,IOTA,model2,3,0.4,sgd,0.20942382367425844,0.1662269699455097,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
142,IOTA,model3,3,0.4,sgd,0.017832460862241294,0.1329713940423056,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
143,IOTA,model4,3,0.4,sgd,0.028757197194193538,0.10740939931528722,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
144,IOTA,model5,2,0.4,sgd,0.02548474034196452,0.16520572978402867,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
145,IOTA,model1,4,0.5,sgd,0.36753600345630394,0.32802095029001466,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
146,IOTA,model2,3,0.5,sgd,,,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
147,IOTA,model3,3,0.5,sgd,0.024144911305292657,0.10871566473516671,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
148,IOTA,model4,3,0.5,sgd,0.07250341243649784,0.12303594935677173,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
149,IOTA,model5,2,0.5,sgd,0.04198803517379259,1.5357061211373368,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
150,IOTA,model1,4,0.4,rmsprop,0.11708029627947039,0.10984205247353244,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
151,IOTA,model2,3,0.4,rmsprop,0.06174744562687058,0.0544183167894155,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
152,IOTA,model3,3,0.4,rmsprop,0.011206419942410369,0.41760721579029597,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
153,IOTA,model4,3,0.4,rmsprop,0.09747422231655371,0.1857802646181178,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
154,IOTA,model5,2,0.4,rmsprop,0.021932725966172784,0.05251976880543016,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
155,IOTA,model1,4,0.5,rmsprop,0.2120964724423462,0.17435969195223802,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
156,IOTA,model2,3,0.5,rmsprop,0.11769235418423225,0.09895357663926173,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
157,IOTA,model3,3,0.5,rmsprop,0.01089700550380114,0.3678730356509059,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
158,IOTA,model4,3,0.5,rmsprop,0.06337189615557068,0.19274106378323722,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
159,IOTA,model5,2,0.5,rmsprop,0.02735355104270734,0.09032665972472487,TS,453,GARCH,normal,1,1,0.13520267036116476,0.05248606284092457
